,fixed.acidity,volatile.acidity,citric.acid,residual.sugar,chlorides,free.sulfur.dioxide,total.sulfur.dioxide,density,pH,sulphates,alcohol,quality,predtest,Residual,,
2054,8.6,0.485,0.29,4.1,0.026,19,101,0.9918,3.01,0.38,12.4,5,5.972783356,0.972783356,,
2055,8.6,0.485,0.29,4.1,0.026,19,101,0.9918,3.01,0.38,12.4,5,5.972783356,0.972783356,,
2060,5.7,0.46,0.46,1.4,0.04,31,169,0.9932,3.13,0.47,8.8,5,4.706350327,-0.293649673,,
2067,7.7,0.28,0.29,4.3,0.051,25,142,0.9939,3.16,0.39,10.2,5,5.626096854,0.626096854,,
2069,5.7,0.32,0.18,1.4,0.029,26,104,0.9906,3.44,0.37,11,6,6.067498342,0.067498342,,
2070,7.1,0.33,0.25,1.6,0.03,25,126,0.9901,3.22,0.34,12.1,7,6.282573094,-0.717426906,,
2085,7.9,0.17,0.32,1.6,0.053,47,150,0.9948,3.29,0.76,9.6,6,5.902595137,-0.097404863,,
2102,6.8,0.28,0.35,2.3,0.042,16,85,0.9906,3.19,0.56,12.4,6,6.36912839,0.36912839,,
2107,8.5,0.24,0.47,15.2,0.057,40,234,1.0005,3.02,0.66,9,5,5.555319592,0.555319592,,
2109,7.4,0.18,0.36,13.1,0.056,72,163,1,3.42,0.35,9.1,6,5.754030197,-0.245969803,,
2111,6.5,0.22,0.25,17.1,0.05,44,138,1.0001,3.3,0.37,8.8,5,5.617893692,0.617893692,,
2114,5.7,0.33,0.15,1.9,0.05,20,93,0.9934,3.38,0.62,9.9,5,5.424069057,0.424069057,,
2115,7.7,0.23,0.31,10.7,0.038,59,186,0.9969,3.12,0.55,9.5,6,5.988750995,-0.011249005,,
2116,6.5,0.22,0.25,17.1,0.05,44,138,1.0001,3.3,0.37,8.8,5,5.617893692,0.617893692,,
2120,8,0.16,0.36,1.5,0.033,14,122,0.9941,3.2,0.39,10.3,4,5.707209476,1.707209476,,
2123,6.9,0.26,0.33,12.6,0.051,59,173,0.998,3.39,0.38,9.9,5,5.901697445,0.901697445,,
2130,6.8,0.28,0.39,1.4,0.036,15,115,0.9918,3.27,0.72,11.7,5,6.195350342,1.195350342,,
2137,7.9,0.18,0.36,5.9,0.058,31,132,0.995,3.25,0.52,10.9,6,6.085912282,0.085912282,,
2139,5.5,0.24,0.32,8.7,0.06,19,102,0.994,3.27,0.31,10.4,5,5.729236525,0.729236525,,
2141,7.7,0.28,0.35,15.3,0.056,31,117,0.9998,3.27,0.5,9.6,5,5.65400069,0.65400069,,
2143,7.5,0.26,0.52,13.2,0.047,64,179,0.9982,3.1,0.46,9,5,5.678837574,0.678837574,,
2146,7.2,0.2,0.31,10,0.054,49,165,0.997,3.4,0.42,9.9,6,5.991003773,-0.008996227,,
2150,6.8,0.24,0.34,5.1,0.038,31,99,0.9921,3.24,0.46,11.8,6,6.416902544,0.416902544,,
2164,8.5,0.25,0.27,4.7,0.031,31,92,0.9922,3.01,0.33,12,6,6.355706169,0.355706169,,
2170,7.4,0.19,0.3,12.8,0.053,48.5,229,0.9986,3.14,0.49,9.1,7,5.696387586,-1.303612414,,
2173,6.9,0.32,0.13,7.8,0.042,11,117,0.996,3.23,0.37,9.2,5,5.24979696,0.24979696,,
2177,6.9,0.32,0.13,7.8,0.042,11,117,0.996,3.23,0.37,9.2,5,5.24979696,0.24979696,,
2178,6,0.34,0.24,5.4,0.06,23,126,0.9951,3.25,0.44,9,7,5.01752576,-1.98247424,,
2182,7.4,0.29,0.25,3.8,0.044,30,114,0.992,3.11,0.4,11,6,5.994478046,-0.005521954,,
2191,7.6,0.27,0.42,2.6,0.044,29,110,0.9912,3.31,0.51,12.7,6,6.611882315,0.611882315,,
2195,6.4,0.18,0.32,9.6,0.052,24,90,0.9963,3.35,0.49,9.4,6,5.793829203,-0.206170797,,
2196,6.8,0.25,0.18,1.4,0.056,13,137,0.9935,3.11,0.42,9.5,5,5.151427431,0.151427431,,
2203,7.1,0.26,0.19,8.2,0.051,53,187,0.996,3.16,0.52,9.7,5,5.734859433,0.734859433,,
2205,7.6,0.27,0.33,2,0.059,19,175,0.9944,3.22,0.56,9.9,5,5.407944145,0.407944145,,
2213,7,0.32,0.35,1.5,0.039,24,125,0.9918,3.17,0.64,12.2,6,6.107230632,0.107230632,,
2216,8.5,0.28,0.34,13.8,0.041,32,161,0.9981,3.13,0.4,9.9,6,5.86717925,-0.13282075,,
2217,7.8,0.3,0.37,1.3,0.051,16,96,0.9941,3.32,0.62,10,5,5.539199336,0.539199336,,
2220,6.5,0.24,0.36,2.2,0.027,36,134,0.9898,3.28,0.36,12.5,7,6.672966563,-0.327033437,,
2221,7,0.22,0.32,1.6,0.045,40,120,0.9914,2.98,0.44,10.5,6,5.851324459,-0.148675541,,
2234,6.5,0.39,0.35,1.6,0.049,10,164,0.99516,3.35,0.51,9.7,5,4.880582686,-0.119417314,,
2240,6.9,0.44,0.42,8.5,0.048,10,147,0.9974,3.32,0.46,9.5,6,4.955331382,-1.044668618,,
2241,7.2,0.29,0.18,8.2,0.042,41,180,0.99644,3.16,0.49,9.1,5,5.481569536,0.481569536,,
2245,7,0.36,0.14,11.6,0.043,35,228,0.9977,3.13,0.51,8.9,5,5.317572632,0.317572632,,
2246,7.5,0.31,0.24,7.1,0.031,28,141,0.99397,3.16,0.38,10.6,7,5.946786959,-1.053213041,,
2249,7.4,0.2,0.29,1.7,0.047,16,100,0.99243,3.28,0.45,10.6,6,5.963478336,-0.036521664,,
2257,7.1,0.14,0.35,1.4,0.039,24,128,0.99212,2.97,0.68,10.4,5,5.985995297,0.985995297,,
2261,7.6,0.48,0.28,10.4,0.049,57,205,0.99748,3.24,0.45,9.3,5,5.287794446,0.287794446,,
2263,8.5,0.25,0.31,2.8,0.032,11,61,0.99189,3.06,0.44,11.5,6,6.181893677,0.181893677,,
2270,8.5,0.19,0.56,17.3,0.055,47,169,1.00047,3.07,0.67,9.3,6,5.979284096,-0.020715904,,
2272,6.7,0.25,0.26,13.5,0.06,50,156,0.99784,3.39,0.46,9.9,6,5.974670275,-0.025329725,,
2274,6.1,0.46,0.32,6.2,0.053,10,94,0.99537,3.35,0.47,10.1,5,5.053445336,0.053445336,,
2278,7.4,0.14,0.3,1.3,0.033,25,91,0.99268,3.53,0.39,10.6,6,6.320722169,0.320722169,,
2285,7.4,0.33,0.26,15.6,0.049,67,210,0.99907,3.06,0.68,9.5,5,5.825126873,0.825126873,,
2290,7.3,0.4,0.28,6.5,0.037,26,97,0.99148,3.16,0.58,12.6,7,6.52586404,-0.47413596,,
2292,8.6,0.17,0.28,2.7,0.047,38,150,0.99365,3.1,0.56,10.8,6,6.142955081,0.142955081,,
2299,6.3,0.41,0.18,3.5,0.027,23,109,0.99018,3.34,0.54,12.8,8,6.538151606,-1.461848394,,
2304,6.9,0.44,0.18,11.8,0.051,26,126,0.9975,3.23,0.48,9.1,5,5.19372767,0.19372767,,
2308,6.8,0.21,0.55,14.6,0.053,34,159,0.99805,2.93,0.44,9.2,5,5.475962797,0.475962797,,
2310,8.1,0.28,0.34,1.3,0.035,11,126,0.99232,3.14,0.5,9.8,6,5.707698065,-0.292301935,,
2311,6.8,0.21,0.55,14.6,0.053,34,159,0.99805,2.93,0.44,9.2,5,5.475962797,0.475962797,,
2312,7,0.22,0.26,2.8,0.036,44,132,0.99078,3.34,0.41,12,7,6.701060465,-0.298939535,,
2314,6.8,0.32,0.3,3.3,0.029,15,80,0.99061,3.33,0.63,12.6,7,6.66341986,-0.33658014,,
2321,8,0.2,0.3,8.1,0.037,42,130,0.99379,3.1,0.67,11.8,6,6.746519822,0.746519822,,
2326,7,0.35,0.17,1.1,0.049,7,119,0.99297,3.13,0.36,9.7,6,5.054747118,-0.945252882,,
2327,6.9,0.35,0.55,11.95,0.038,22,111,0.99687,3.11,0.29,9.7,5,5.326411637,0.326411637,,
2329,6.9,0.35,0.55,11.95,0.038,22,111,0.99687,3.11,0.29,9.7,5,5.326411637,0.326411637,,
2339,7.2,0.34,0.3,8.4,0.051,40,167,0.99756,3.48,0.62,9.7,5,5.636326059,0.636326059,,
2340,7,0.23,0.26,7.2,0.041,21,90,0.99509,3.22,0.55,9.5,6,5.768228375,-0.231771625,,
2343,7.7,0.4,0.27,4.5,0.034,27,95,0.99175,3.21,0.59,12.3,8,6.394954575,-1.605045425,,
2344,6.7,0.17,0.27,1.4,0.032,39,149,0.99254,3.4,0.52,10.5,5,6.229893189,1.229893189,,
2346,8.1,0.24,0.26,11,0.043,41,211,0.99676,3.11,0.49,10,6,5.991721595,-0.008278405,,
2351,7.9,0.31,0.22,13.3,0.048,46,212,0.99942,3.47,0.59,10,5,5.986350305,0.986350305,,
2353,6.1,0.28,0.16,1.3,0.06,36,126,0.99353,3.13,0.46,8.7,6,4.998314971,-1.001685029,,
2356,7.6,0.48,0.33,7,0.024,14,130,0.9918,3.25,0.45,12.5,7,6.373828116,-0.626171884,,
2362,8.2,0.25,0.46,3.75,0.05,14,102,0.99524,3.28,0.58,9.7,5,5.588123871,0.588123871,,
2364,6.7,0.24,0.26,12.6,0.053,44,182,0.99802,3.42,0.42,9.7,5,5.858673022,0.858673022,,
2368,7.2,0.3,0.3,8.1,0.05,40,188,0.99652,3.15,0.49,9.1,6,5.369155155,-0.630844845,,
2369,7.4,0.34,0.3,14.9,0.037,70,169,0.99698,3.25,0.37,10.4,6,6.266484638,0.266484638,,
2376,7,0.32,0.29,4.9,0.036,41,150,0.99168,3.38,0.43,12.2,6,6.593168743,0.593168743,,
2391,7,0.28,0.26,1.7,0.042,34,130,0.9925,3.43,0.5,10.7,8,6.054274015,-1.945725985,,
2408,7.6,0.31,0.27,5.8,0.036,23,109,0.99399,3.34,0.54,11,6,6.143678763,0.143678763,,
2410,7.1,0.21,0.28,2.7,0.034,23,111,0.99405,3.35,0.64,10.2,4,5.956042067,1.956042067,,
2411,7,0.16,0.26,7.3,0.047,30,220,0.99622,3.38,0.58,10.1,6,6.020731742,0.020731742,,
2414,7.1,0.21,0.28,2.7,0.034,23,111,0.99405,3.35,0.64,10.2,4,5.956042067,1.956042067,,
2421,8.1,0.4,0.32,7.9,0.031,23,118,0.99176,3.05,0.46,13.3,7,6.643112846,-0.356887154,,
2424,7.2,0.24,0.29,3,0.036,17,117,0.99411,3.36,0.68,10.1,6,5.910760114,-0.089239886,,
2429,7.3,0.22,0.26,1.5,0.04,32,172,0.99194,3.27,0.48,11.2,6,6.211654008,0.211654008,,
2430,8.1,0.34,0.28,7.5,0.04,70,230,0.99558,3.14,0.55,9.8,6,5.899574904,-0.100425096,,
2440,7.3,0.27,0.37,9.7,0.042,36,130,0.9979,3.48,0.75,9.9,6,5.990513421,-0.009486579,,
2446,6.6,0.34,0.34,2.6,0.051,40.5,210,0.99314,3.15,0.61,10,5,5.528628127,0.528628127,,
2448,6.5,0.27,0.26,8.2,0.042,21,133,0.99612,3.43,0.64,9.8,6,5.835614417,-0.164385583,,
2449,6.6,0.26,0.27,1.5,0.04,19,114,0.99295,3.36,0.62,10.5,6,5.855367943,-0.144632057,,
2453,7.3,0.19,0.27,1.6,0.027,35,136,0.99248,3.38,0.54,11,7,6.385202291,-0.614797709,,
2454,6.3,0.2,0.26,1.6,0.027,36,141,0.99268,3.53,0.56,10.8,6,6.312885979,0.312885979,,
2455,7.1,0.29,0.3,16,0.036,58,201,0.99954,3.3,0.67,9,5,5.978090489,0.978090489,,
2456,7.8,0.32,0.33,10.4,0.031,47,194,0.99692,3.07,0.58,9.6,6,5.751747445,-0.248252555,,
2460,6.6,0.33,0.24,16.05,0.045,31,147,0.99822,3.08,0.52,9.2,5,5.570533869,0.570533869,,
2462,8.2,0.26,0.33,2.6,0.053,11,71,0.99402,2.89,0.49,9.5,5,5.180114323,0.180114323,,
2463,8.3,0.25,0.33,2.5,0.053,12,72,0.99404,2.89,0.48,9.5,5,5.20120978,0.20120978,,
2472,5.6,0.35,0.4,6.3,0.022,23,174,0.9922,3.54,0.5,11.6,7,6.433753982,-0.566246018,,
2474,6,0.29,0.21,15.55,0.043,20,142,0.99658,3.11,0.54,10.1,6,5.941047636,-0.058952364,,
2481,6.8,0.32,0.3,1,0.049,22,113,0.99289,3.24,0.61,10.2,5,5.526682245,0.526682245,,
2502,6.4,0.31,0.4,6.4,0.039,39,191,0.99513,3.14,0.52,9.8,5,5.476637868,0.476637868,,
2503,8.6,0.34,0.36,1.4,0.045,11,119,0.99556,3.17,0.47,9.4,4,4.987154271,0.987154271,,
2504,8.6,0.34,0.36,1.4,0.045,11,119,0.99556,3.17,0.47,9.4,4,4.987154271,0.987154271,,
2508,7.1,0.34,0.31,5.2,0.032,36,140,0.99166,3.35,0.47,12.3,7,6.605253979,-0.394746021,,
2511,6.2,0.28,0.45,7.5,0.045,46,203,0.99573,3.26,0.46,9.2,6,5.481553552,-0.518446448,,
2513,5.6,0.175,0.29,0.8,0.043,20,67,0.99112,3.28,0.48,9.9,6,5.840894929,-0.159105071,,
2515,6.9,0.34,0.3,4.7,0.029,34,148,0.99165,3.36,0.49,12.3,7,6.56313338,-0.43686662,,
2516,7.1,0.12,0.3,3.1,0.018,15,37,0.99004,3.02,0.52,11.9,7,6.754897286,-0.245102714,,
2524,8.2,0.2,0.38,3.5,0.053,41,174,0.99306,3.22,0.41,11.6,5,6.295802409,1.295802409,,
2528,7.3,0.16,0.35,1.5,0.036,29,108,0.99342,3.27,0.51,10.2,6,5.927788314,-0.072211686,,
2539,5.9,0.28,0.14,8.6,0.032,30,142,0.99542,3.28,0.44,9.5,6,5.649039236,-0.350960764,,
2545,6.9,0.32,0.3,1.8,0.036,28,117,0.99269,3.24,0.48,11,6,5.76720556,-0.23279444,,
2546,7.2,0.22,0.24,1.4,0.041,17,159,0.99196,3.25,0.53,11.2,6,6.119387647,0.119387647,,
2548,6.2,0.33,0.14,4.8,0.052,27,128,0.99475,3.21,0.48,9.4,5,5.202688778,0.202688778,,
2550,7.5,0.2,0.47,16.9,0.052,51,188,0.99944,3.09,0.62,9.3,5,5.981224423,0.981224423,,
2553,6.6,0.36,0.52,11.3,0.046,8,110,0.9966,3.07,0.46,9.4,5,5.185179102,0.185179102,,
2562,6.9,0.28,0.22,10,0.052,36,131,0.99696,3.08,0.46,9.6,5,5.407832861,0.407832861,,
2565,6.6,0.41,0.16,1.4,0.037,28,160,0.99167,2.95,0.45,10.6,6,5.332653635,-0.667346365,,
2587,6.8,0.18,0.3,12.8,0.062,19,171,0.99808,3,0.52,9,7,5.37838347,-1.62161653,,
2591,6.9,0.13,0.28,13.3,0.05,47,132,0.99655,3.34,0.42,10.1,6,6.44121287,0.44121287,,
2593,7.3,0.32,0.29,1.5,0.038,32,144,0.99296,3.2,0.55,10.8,5,5.75457675,0.75457675,,
2594,6.3,0.21,0.29,11.7,0.048,49,147,0.99482,3.22,0.38,10.8,5,6.328143807,1.328143807,,
2602,6.2,0.26,0.32,15.3,0.031,64,185,0.99835,3.31,0.61,9.4,5,6.123744748,1.123744748,,
2616,6.5,0.18,0.41,14.2,0.039,47,129,0.99678,3.28,0.72,10.3,7,6.557263641,-0.442736359,,
2617,6.5,0.18,0.41,14.2,0.039,47,129,0.99678,3.28,0.72,10.3,7,6.557263641,-0.442736359,,
2624,6.5,0.18,0.41,14.2,0.039,47,129,0.99678,3.28,0.72,10.3,7,6.557263641,-0.442736359,,
2628,7.8,0.17,0.23,1.7,0.029,39,128,0.99272,3.37,0.41,10.7,7,6.330215689,-0.669784311,,
2637,7.2,0.24,0.27,11.4,0.034,40,174,0.99773,3.2,0.44,9,5,5.648329908,0.648329908,,
2642,6.1,0.15,0.35,15.8,0.042,55,158,0.99642,3.24,0.37,10.6,5,6.537074505,1.537074505,,
2644,8.1,0.33,0.22,5.2,0.047,24,151,0.99527,3.22,0.47,10.3,5,5.583178872,0.583178872,,
2654,6.4,0.28,0.27,11,0.042,45,148,0.99786,3.14,0.46,8.7,5,5.276461085,0.276461085,,
2659,6.5,0.15,0.44,12.6,0.052,65,158,0.99688,3.26,0.7,10.3,7,6.450314565,-0.549685435,,
2661,6.7,0.33,0.34,6.6,0.067,35,156,0.99542,3.11,0.48,9.3,6,5.154198709,-0.845801291,,
2666,8.3,0.4,0.41,8.2,0.05,15,122,0.9979,3.39,0.49,9.3,5,5.215832116,0.215832116,,
2675,7.2,0.35,0.25,5.6,0.032,23,120,0.99334,2.93,0.66,10.3,7,5.705216869,-1.294783131,,
2677,7.6,0.1,0.33,1,0.031,33,93,0.99094,3.06,0.68,11.2,6,6.614446454,0.614446454,,
2678,6.2,0.25,0.31,3.2,0.03,32,150,0.99014,3.18,0.31,12,6,6.394470391,0.394470391,,
2679,7.1,0.31,0.17,1,0.042,21,144,0.99304,3.13,0.4,9.6,5,5.25750503,0.25750503,,
2681,8,0.17,0.29,2.4,0.029,52,119,0.98944,3.03,0.33,12.9,6,7.002246418,1.002246418,,
2682,7.2,0.19,0.27,11.2,0.061,46,149,0.99772,2.99,0.59,9.3,6,5.577716969,-0.422283031,,
2683,7.6,0.32,0.25,9.5,0.03,15,136,0.99367,3.1,0.44,12.1,6,6.356894126,0.356894126,,
2687,8,0.17,0.29,2.4,0.029,52,119,0.98944,3.03,0.33,12.9,6,7.002246418,1.002246418,,
2691,6.9,0.3,0.25,3.3,0.041,26,124,0.99428,3.18,0.5,9.3,6,5.330704221,-0.669295779,,
2692,6.2,0.28,0.27,10.3,0.03,26,108,0.99388,3.2,0.36,10.7,6,6.131884274,0.131884274,,
2694,6.7,0.23,0.25,1.6,0.036,28,143,0.99256,3.3,0.54,10.3,6,5.933358377,-0.066641623,,
2696,5.7,0.23,0.28,9.65,0.025,26,121,0.9925,3.28,0.38,11.3,6,6.553090715,0.553090715,,
2717,7.8,0.25,0.34,13.7,0.044,66,184,0.99976,3.22,0.75,8.9,5,5.885693903,0.885693903,,
2720,7.5,0.18,0.31,6.5,0.029,53,160,0.99276,3.03,0.38,10.9,6,6.424155109,0.424155109,,
2724,7.5,0.26,0.25,1.7,0.038,29,129,0.99312,3.45,0.56,10.4,6,6.078457565,0.078457565,,
2725,7.5,0.18,0.31,6.5,0.029,53,160,0.99276,3.03,0.38,10.9,6,6.424155109,0.424155109,,
2726,6.9,0.23,0.32,16.4,0.045,62,153,0.9972,3.22,0.42,10.5,5,6.442696967,1.442696967,,
2728,6.5,0.17,0.31,1.5,0.041,34,121,0.99092,3.06,0.46,10.5,6,6.035569416,0.035569416,,
2737,6.5,0.17,0.31,1.5,0.041,34,121,0.99092,3.06,0.46,10.5,6,6.035569416,0.035569416,,
2744,6.7,0.27,0.33,3.6,0.034,9,45,0.99144,3.08,0.4,10.5,6,5.825672576,-0.174327424,,
2745,6.7,0.27,0.33,3.6,0.034,9,45,0.99144,3.08,0.4,10.5,6,5.825672576,-0.174327424,,
2746,6.7,0.44,0.22,4.3,0.032,19,99,0.99015,3.26,0.53,12.8,7,6.47814427,-0.52185573,,
2752,6.8,0.17,0.36,1.4,0.036,38,108,0.99006,3.19,0.66,12,6,6.771964829,0.771964829,,
2757,8.6,0.33,0.34,11.8,0.059,42,240,0.99882,3.17,0.52,10,6,5.591662772,-0.408337228,,
2760,7.7,0.18,0.35,5.8,0.055,25,144,0.99576,3.24,0.54,10.2,6,5.797135278,-0.202864722,,
2763,7.3,0.32,0.35,1.4,0.05,8,163,0.99244,3.24,0.42,10.7,5,5.572461646,0.572461646,,
2768,7.9,0.16,0.3,7.4,0.05,58,152,0.99612,3.12,0.37,9.5,6,5.798979393,-0.201020607,,
2771,6.4,0.44,0.44,14.4,0.048,29,228,0.99955,3.26,0.54,8.8,7,5.024957806,-1.975042194,,
2779,7.6,0.39,0.32,3.6,0.035,22,93,0.99144,3.08,0.6,12.5,7,6.246364665,-0.753635335,,
2783,7.1,0.2,0.31,6.85,0.053,32,211,0.99587,3.31,0.59,10.4,6,5.934128496,-0.065871504,,
2784,7.1,0.2,0.31,7.4,0.053,32,211,0.99587,3.31,0.59,10.4,6,5.983315905,-0.016684095,,
2792,6.6,0.25,0.51,8,0.047,61,189,0.99604,3.22,0.49,9.2,5,5.637179689,0.637179689,,
2793,6.8,0.26,0.44,8.2,0.046,52,183,0.99584,3.2,0.51,9.4,5,5.693078848,0.693078848,,
2796,6.4,0.22,0.32,7.2,0.028,15,83,0.993,3.13,0.55,10.9,8,6.214972532,-1.785027468,,
2799,6.9,0.31,0.32,1.6,0.036,34,114,0.99068,3.19,0.45,11.4,7,6.144933529,-0.855066471,,
2811,7.8,0.26,0.31,3.6,0.025,22,100,0.99066,2.99,0.47,12.1,7,6.484861819,-0.515138181,,
2812,7.4,0.3,0.32,1.7,0.03,23,128,0.9929,3.17,0.66,10.9,5,5.89699534,0.89699534,,
2813,6.7,0.16,0.34,1.6,0.026,27,109,0.9934,3.34,0.58,10.1,6,5.995556271,-0.004443729,,
2815,6.7,0.19,0.39,1,0.032,14,71,0.98912,3.31,0.38,13,7,6.787672671,-0.212327329,,
2817,7.2,0.17,0.41,1.6,0.052,24,126,0.99228,3.19,0.49,10.8,5,5.988014774,0.988014774,,
2820,6,0.21,0.34,2,0.042,63,123,0.99052,3.44,0.42,11.4,6,6.614264584,0.614264584,,
2826,6.3,0.25,0.22,3.3,0.048,41,161,0.99256,3.16,0.5,10.5,6,5.856290146,-0.143709854,,
2827,6.5,0.22,0.45,8,0.053,52,196,0.9959,3.23,0.48,9.1,6,5.625193265,-0.374806735,,
2828,6.4,0.14,0.31,1.2,0.034,53,138,0.99084,3.38,0.35,11.5,7,6.585821271,-0.414178729,,
2831,6.6,0.22,0.34,11.6,0.05,59,140,0.99526,3.22,0.4,10.8,5,6.317924719,1.317924719,,
2835,6.2,0.15,0.27,1.4,0.041,51,117,0.9909,3.28,0.38,11.2,6,6.377083772,0.377083772,,
2837,6.5,0.22,0.45,8,0.053,52,196,0.9959,3.23,0.48,9.1,6,5.625193265,-0.374806735,,
2839,6.9,0.15,0.29,2.3,0.033,14,82,0.99132,3.1,0.58,11.2,7,6.308461476,-0.691538524,,
2840,5.8,0.22,0.29,0.9,0.034,34,89,0.98936,3.14,0.36,11.1,7,6.175419233,-0.824580767,,
2841,6.5,0.37,0.33,3.5,0.036,23,92,0.99136,3.18,0.38,11.2,6,5.854096076,-0.145903924,,
2842,5.5,0.375,0.38,1.7,0.036,17,98,0.99142,3.29,0.39,10.5,6,5.490454866,-0.509545134,,
2846,6.5,0.22,0.29,7.4,0.028,16,87,0.99311,3.15,0.56,10.9,7,6.265596259,-0.734403741,,
2852,7.3,0.23,0.34,9.3,0.052,19,86,0.99574,3.04,0.56,10,5,5.71550148,0.71550148,,
2860,6.6,0.21,0.36,0.8,0.034,48,113,0.99165,3.24,0.68,10.5,6,6.22510425,0.22510425,,
2880,5.7,0.37,0.3,1.1,0.029,24,88,0.98883,3.18,0.39,11.7,6,6.092481375,0.092481375,,
2883,7,0.24,0.3,6.7,0.039,37,125,0.99436,3.2,0.39,9.9,5,5.844470389,0.844470389,,
2885,7,0.28,0.32,7.75,0.032,30,114,0.99158,3.12,0.64,12.8,7,6.895879098,-0.104120902,,
2889,8.5,0.22,0.34,0.7,0.04,5,25,0.9918,3.04,0.37,10.5,4,5.767965799,1.767965799,,
2893,6.7,0.42,0.46,9.7,0.054,67,234,0.99848,3.23,0.5,9,5,5.019605043,0.019605043,,
2895,6.4,0.125,0.36,1.4,0.044,22,68,0.99014,3.15,0.5,11.7,7,6.449816064,-0.550183936,,
2902,6.5,0.22,0.32,2.2,0.028,36,92,0.99076,3.27,0.59,11.9,7,6.61312213,-0.38687787,,
2907,6.6,0.26,0.46,6.9,0.047,59,183,0.99594,3.2,0.45,9.3,5,5.495714525,0.495714525,,
2908,5.7,0.21,0.25,1.1,0.035,26,81,0.9902,3.31,0.52,11.4,6,6.3399481,0.3399481,,
2910,6.2,0.18,0.3,1,0.031,23,73,0.99032,3.23,0.52,11.3,6,6.352425338,0.352425338,,
2918,7.1,0.36,0.4,1.95,0.033,26,118,0.98934,3.2,0.45,13.5,7,6.634048822,-0.365951178,,
2920,6.4,0.16,0.32,8.75,0.038,38,118,0.99449,3.19,0.41,10.7,5,6.20462381,1.20462381,,
2930,6.6,0.22,0.29,14.4,0.046,39,118,0.99834,3.05,0.5,9.1,6,5.59149776,-0.40850224,,
2934,6.9,0.22,0.31,6.3,0.029,41,131,0.99326,3.08,0.49,10.8,6,6.194173348,0.194173348,,
2935,5.3,0.21,0.29,0.7,0.028,11,66,0.99215,3.3,0.4,9.8,5,5.502089831,0.502089831,,
2938,7.7,0.25,0.3,7.8,0.038,67,196,0.99555,3.1,0.5,10.1,5,6.006103724,1.006103724,,
2940,7,0.12,0.29,10.3,0.039,41,98,0.99564,3.19,0.38,9.8,8,6.166825188,-1.833174812,,
2942,7.2,0.3,0.3,8.7,0.022,14,111,0.99576,3.11,0.61,10.6,5,5.831675715,0.831675715,,
2944,7,0.12,0.29,10.3,0.039,41,98,0.99564,3.19,0.38,9.8,8,6.166825188,-1.833174812,,
2948,5.1,0.29,0.28,8.3,0.026,27,107,0.99308,3.36,0.37,11,6,6.137842136,0.137842136,,
2951,6,0.28,0.25,1.8,0.042,8,108,0.9929,3.08,0.55,9,5,5.136361014,0.136361014,,
2953,6.1,0.27,0.25,1.8,0.041,9,109,0.9929,3.08,0.54,9,5,5.175038485,0.175038485,,
2954,6,0.28,0.25,1.8,0.042,8,108,0.9929,3.08,0.55,9,5,5.136361014,0.136361014,,
2955,6.4,0.29,0.3,2.9,0.036,25,79,0.99037,3.29,0.6,12.4,7,6.592891301,-0.407108699,,
2961,7.7,0.11,0.34,14.05,0.04,41,114,0.99634,3.07,0.59,11,7,6.720216274,-0.279783726,,
2968,6.6,0.23,0.3,14.9,0.051,33,118,0.99835,3.04,0.54,9,6,5.562185008,-0.437814992,,
2969,8.4,0.31,0.31,0.95,0.021,52,148,0.99038,2.93,0.32,11.5,5,6.209842814,1.209842814,,
2973,6.3,0.22,0.22,5.6,0.039,31,128,0.99296,3.12,0.46,10.4,6,5.955255605,-0.044744395,,
2981,6.1,0.38,0.42,5,0.016,31,113,0.99007,3.15,0.31,12.4,7,6.366978054,-0.633021946,,
2982,8.5,0.23,0.28,11.1,0.033,30,97,0.99507,3.03,0.39,10.5,7,6.281106389,-0.718893611,,
2992,6.3,0.37,0.28,6.3,0.034,45,152,0.9921,3.29,0.46,11.6,7,6.309253288,-0.690746712,,
2994,6.8,0.18,0.28,9.8,0.039,29,113,0.99406,3.11,0.45,10.9,7,6.3313276,-0.6686724,,
2995,6.8,0.18,0.28,9.8,0.039,29,113,0.99406,3.11,0.45,10.9,7,6.3313276,-0.6686724,,
2999,6,0.32,0.3,1.3,0.025,18,112,0.98802,3.07,0.64,13.3,7,6.717957269,-0.282042731,,
3000,6.8,0.18,0.28,9.8,0.039,29,113,0.99406,3.11,0.45,10.9,7,6.3313276,-0.6686724,,
3001,6.7,0.18,0.28,10.2,0.039,29,115,0.99469,3.11,0.45,10.9,7,6.23905099,-0.76094901,,
3005,6.3,0.18,0.36,1.2,0.034,26,111,0.99074,3.16,0.51,11,6,6.187479939,0.187479939,,
3014,7,0.13,0.37,12.85,0.042,36,105,0.99581,3.05,0.55,10.7,6,6.421123679,0.421123679,,
3016,7.2,0.32,0.3,8.25,0.02,14,104,0.99362,2.99,0.44,11.4,6,6.013504177,0.013504177,,
3019,6.8,0.22,0.31,6.9,0.037,33,121,0.99176,3.02,0.39,11.9,8,6.445266012,-1.554733988,,
3025,7,0.13,0.37,12.85,0.042,36,105,0.99581,3.05,0.55,10.7,6,6.421123679,0.421123679,,
3027,8.4,0.22,0.3,8.9,0.024,17,118,0.99456,2.99,0.34,10.5,6,6.080215944,0.080215944,,
